Name,Def,Defn,BBPerc,BBn,Kperc,Knr,ISO,ISOn,Spd,Spdn
Bryce Harper,-2.4,0.436507937,18.60%,1,20.70%,0.520979021,0.354,1,3,0.303797468
Paul Goldschmidt,-7.9,0.291005291,18.40%,0.988023952,18.70%,0.590909091,0.258,0.683168317,4.6,0.506329114
Miguel Cabrera,-9.4,0.251322751,15.90%,0.838323353,16.50%,0.667832168,0.227,0.580858086,2.2,0.202531646
Mike Trout,-0.7,0.481481481,11.60%,0.580838323,22.80%,0.447552448,0.315,0.871287129,4.7,0.518987342
Joey Votto,-2.9,0.423280423,16.80%,0.892215569,17.50%,0.632867133,0.226,0.577557756,3.8,0.405063291
Giancarlo Stanton,4.4,0.616402116,10.70%,0.526946108,29.90%,0.199300699,0.341,0.95709571,3.9,0.417721519
Nelson Cruz,-13.6,0.14021164,8.90%,0.419161677,22.40%,0.461538462,0.245,0.640264026,2.1,0.189873418
Mark Teixeira,-6,0.341269841,13.20%,0.676646707,16.50%,0.667832168,0.299,0.818481848,2.2,0.202531646
Alex Rodriguez,-9.9,0.238095238,12.90%,0.658682635,21.40%,0.496503497,0.26,0.689768977,2.9,0.291139241
Anthony Rizzo,-6.5,0.328042328,11.30%,0.562874251,12.70%,0.800699301,0.23,0.590759076,4.9,0.544303797
Adrian Gonzalez,-3.5,0.407407407,9.50%,0.45508982,14.60%,0.734265734,0.246,0.643564356,1.5,0.113924051
Jason Kipnis,5.1,0.634920635,10.00%,0.48502994,14.40%,0.741258741,0.154,0.339933993,5.7,0.64556962
Prince Fielder,-12.4,0.171957672,9.00%,0.425149701,10.60%,0.874125874,0.17,0.392739274,0.9,0.037974684
Josh Donaldson,6.9,0.682539683,8.50%,0.395209581,19.00%,0.58041958,0.253,0.666666667,3.4,0.35443038
J.D. Martinez,3.7,0.597883598,7.40%,0.329341317,27.20%,0.293706294,0.264,0.702970297,3.4,0.35443038
Buster Posey,7.5,0.698412698,9.60%,0.461077844,8.60%,0.944055944,0.17,0.392739274,2.6,0.253164557
Gerardo Parra,-12.1,0.17989418,5.70%,0.22754491,16.20%,0.678321678,0.189,0.455445545,6.6,0.759493671
Andrew McCutchen,-4.5,0.380952381,12.00%,0.604790419,17.60%,0.629370629,0.197,0.481848185,4.1,0.443037975
Todd Frazier,4,0.605820106,6.80%,0.293413174,17.20%,0.643356643,0.289,0.785478548,4.6,0.506329114
Lorenzo Cain,11.4,0.801587302,6.90%,0.299401198,16.10%,0.681818182,0.19,0.458745875,7.6,0.886075949
Manny Machado,10.4,0.775132275,9.60%,0.461077844,15.60%,0.699300699,0.219,0.554455446,4.8,0.53164557
Nolan Arenado,10.9,0.788359788,4.90%,0.179640719,14.80%,0.727272727,0.29,0.788778878,3.8,0.405063291
Eric Hosmer,-7.7,0.296296296,8.00%,0.365269461,17.30%,0.63986014,0.167,0.382838284,4.7,0.518987342
Jose Bautista,-7,0.314814815,16.70%,0.886227545,15.00%,0.72027972,0.255,0.673267327,4.4,0.481012658
Carlos Gonzalez,-2.3,0.439153439,8.30%,0.383233533,20.60%,0.524475524,0.243,0.633663366,3.6,0.379746835
Brett Gardner,-7.1,0.312169312,10.70%,0.526946108,19.70%,0.555944056,0.17,0.392739274,6.8,0.784810127
Adam Lind,-6.4,0.330687831,11.10%,0.550898204,17.80%,0.622377622,0.209,0.521452145,0.9,0.037974684
Albert Pujols,-6.4,0.330687831,7.50%,0.335329341,10.90%,0.863636364,0.276,0.742574257,2.4,0.227848101
David Peralta,-1.8,0.452380952,9.20%,0.437125749,21.30%,0.5,0.219,0.554455446,6,0.683544304
Jose Abreu,-7.7,0.296296296,5.20%,0.19760479,20.40%,0.531468531,0.197,0.481848185,3.2,0.329113924
George Springer,-2.6,0.431216931,13.00%,0.664670659,26.90%,0.304195804,0.192,0.465346535,4.5,0.493670886
Michael Brantley,-7.1,0.312169312,11.40%,0.568862275,7.40%,0.986013986,0.153,0.336633663,3.9,0.417721519
Russell Martin,7.7,0.703703704,9.80%,0.473053892,19.50%,0.562937063,0.224,0.570957096,4.8,0.53164557
Brian Dozier,-0.3,0.492063492,9.00%,0.425149701,21.20%,0.503496503,0.256,0.676567657,6.2,0.708860759
A.J. Pollock,11.6,0.806878307,8.30%,0.383233533,15.10%,0.716783217,0.159,0.356435644,6.6,0.759493671
Charlie Blackmon,3.7,0.597883598,7.60%,0.341317365,17.10%,0.646853147,0.168,0.386138614,7.3,0.848101266
Troy Tulowitzki,-1.2,0.468253968,6.70%,0.28742515,20.80%,0.517482517,0.181,0.429042904,1.6,0.126582278
Joe Panik,5.6,0.648148148,8.90%,0.419161677,10.10%,0.891608392,0.131,0.264026403,3.7,0.392405063
Logan Forsythe,1.5,0.53968254,9.30%,0.443113772,16.70%,0.660839161,0.156,0.346534653,3.5,0.367088608
Chris Davis,-3.6,0.404761905,10.80%,0.532934132,31.10%,0.157342657,0.258,0.683168317,1.1,0.063291139
Yoenis Cespedes,10.3,0.772486772,4.40%,0.149700599,20.40%,0.531468531,0.213,0.534653465,3.8,0.405063291
Josh Reddick,-6.4,0.330687831,7.50%,0.335329341,10.20%,0.888111888,0.181,0.429042904,4.6,0.506329114
DJ LeMahieu,5.7,0.650793651,8.30%,0.383233533,16.60%,0.664335664,0.096,0.148514851,6.3,0.721518987
Brandon Belt,-1.2,0.468253968,10.00%,0.48502994,26.20%,0.328671329,0.189,0.455445545,5,0.556962025
Jay Bruce,-2.4,0.436507937,11.20%,0.556886228,21.40%,0.496503497,0.229,0.587458746,4,0.430379747
Matt Duffy,4.3,0.613756614,4.40%,0.149700599,17.70%,0.625874126,0.161,0.363036304,5.8,0.658227848
Joc Pederson,0.8,0.521164021,14.00%,0.724550898,29.80%,0.202797203,0.234,0.603960396,2.7,0.265822785
Ryan Braun,-7.5,0.301587302,9.00%,0.425149701,21.70%,0.486013986,0.214,0.537953795,6.3,0.721518987
Adam Jones,6.2,0.664021164,4.70%,0.167664671,14.70%,0.730769231,0.202,0.498349835,4.7,0.518987342
Matt Carpenter,-1.4,0.462962963,13.10%,0.670658683,19.10%,0.576923077,0.179,0.422442244,3.4,0.35443038
Lucas Duda,-5.9,0.343915344,10.60%,0.520958084,26.00%,0.335664336,0.218,0.551155116,1.5,0.113924051
Kris Bryant,4,0.605820106,13.00%,0.664670659,30.70%,0.171328671,0.195,0.475247525,6.3,0.721518987
Brandon Crawford,6.7,0.677248677,7.00%,0.305389222,20.70%,0.520979021,0.207,0.514851485,5,0.556962025
Curtis Granderson,2.7,0.571428571,12.30%,0.622754491,22.00%,0.475524476,0.185,0.442244224,4.1,0.443037975
Stephen Vogt,0.6,0.515873016,11.40%,0.568862275,18.50%,0.597902098,0.186,0.445544554,2.6,0.253164557
Starling Marte,2.9,0.576719577,4.60%,0.161676647,22.50%,0.458041958,0.164,0.372937294,5.4,0.607594937
Jhonny Peralta,2.5,0.566137566,7.80%,0.353293413,17.40%,0.636363636,0.169,0.389438944,1.9,0.164556962
David Ortiz,-9.4,0.251322751,11.90%,0.598802395,15.00%,0.72027972,0.227,0.580858086,0.6,0
Kendrys Morales,-10.2,0.23015873,6.80%,0.293413174,15.20%,0.713286713,0.169,0.389438944,1.2,0.075949367
Edwin Encarnacion,-6.2,0.335978836,12.30%,0.622754491,17.30%,0.63986014,0.214,0.537953795,1.8,0.151898734
Yunel Escobar,-3.4,0.41005291,5.60%,0.221556886,13.70%,0.765734266,0.099,0.158415842,2.6,0.253164557
Mike Moustakas,3.7,0.597883598,6.10%,0.251497006,11.20%,0.853146853,0.139,0.290429043,2.4,0.227848101
Brian McCann,7.4,0.695767196,8.40%,0.389221557,19.00%,0.58041958,0.208,0.518151815,2.1,0.189873418
Dustin Pedroia,2.2,0.558201058,8.30%,0.383233533,12.20%,0.818181818,0.139,0.290429043,1.7,0.139240506
Carlos Santana,-6.3,0.333333333,16.90%,0.898203593,17.60%,0.629370629,0.173,0.402640264,4.3,0.46835443
Jose Iglesias,8.5,0.724867725,5.40%,0.209580838,9.90%,0.898601399,0.082,0.102310231,4.4,0.481012658
Trevor Plouffe,4.8,0.626984127,7.80%,0.353293413,17.90%,0.618881119,0.199,0.488448845,4.4,0.481012658
Jason Heyward,5.8,0.653439153,7.60%,0.341317365,16.40%,0.671328671,0.149,0.323432343,5.9,0.670886076
Dee Gordon,7.2,0.69047619,3.10%,0.071856287,16.20%,0.678321678,0.078,0.089108911,7.2,0.835443038
Jose Altuve,3.5,0.592592593,5.50%,0.215568862,8.90%,0.933566434,0.125,0.244224422,5.2,0.582278481
Chris Coghlan,5,0.632275132,11.50%,0.574850299,17.90%,0.618881119,0.18,0.425742574,4.6,0.506329114
Kolten Wong,2.2,0.558201058,5.80%,0.233532934,15.20%,0.713286713,0.152,0.333333333,5.1,0.569620253
Adam Eaton,-7.4,0.304232804,8.10%,0.371257485,17.80%,0.622377622,0.154,0.339933993,6.7,0.772151899
Justin Upton,-3.9,0.396825397,9.80%,0.473053892,26.30%,0.325174825,0.189,0.455445545,5.7,0.64556962
Kyle Seager,5.1,0.634920635,7.60%,0.341317365,13.00%,0.79020979,0.174,0.405940594,1.8,0.151898734
Xander Bogaerts,10,0.764550265,4.00%,0.125748503,15.70%,0.695804196,0.096,0.148514851,4.9,0.544303797
Marlon Byrd,-8.9,0.264550265,6.30%,0.263473054,24.80%,0.377622378,0.221,0.561056106,3.3,0.341772152
Hanley Ramirez,-18.9,0,5.40%,0.209580838,15.90%,0.688811189,0.191,0.462046205,3.9,0.417721519
Nick Markakis,-4.2,0.388888889,11.00%,0.54491018,13.50%,0.772727273,0.072,0.069306931,2.9,0.291139241
Ian Kinsler,6.4,0.669312169,7.90%,0.359281437,14.00%,0.755244755,0.116,0.214521452,5,0.556962025
Neil Walker,-1.8,0.452380952,6.60%,0.281437126,19.80%,0.552447552,0.147,0.316831683,3.8,0.405063291
Mookie Betts,4,0.605820106,7.00%,0.305389222,12.00%,0.825174825,0.173,0.402640264,6.5,0.746835443
Kole Calhoun,1.9,0.55026455,6.90%,0.299401198,22.20%,0.468531469,0.151,0.330033003,3.4,0.35443038
Evan Longoria,5.6,0.648148148,8.80%,0.413173653,19.50%,0.562937063,0.151,0.330033003,2.6,0.253164557
Dexter Fowler,-2,0.447089947,11.90%,0.598802395,20.70%,0.520979021,0.142,0.300330033,6.6,0.759493671
Howie Kendrick,-3.7,0.402116402,6.40%,0.269461078,17.10%,0.646853147,0.111,0.198019802,4.2,0.455696203
Torii Hunter,-2.6,0.431216931,6.60%,0.281437126,17.20%,0.643356643,0.182,0.432343234,2.2,0.202531646
Shin-Soo Choo,-9.3,0.253968254,9.00%,0.425149701,24.20%,0.398601399,0.179,0.422442244,3.8,0.405063291
Cameron Maybin,-6.5,0.328042328,8.40%,0.389221557,17.60%,0.629370629,0.113,0.204620462,5,0.556962025
Billy Burns,-7.9,0.291005291,4.20%,0.137724551,13.40%,0.776223776,0.088,0.122112211,7.7,0.898734177
Danny Espinosa,4.9,0.62962963,8.10%,0.371257485,23.20%,0.433566434,0.162,0.366336634,4.3,0.46835443
Pedro Alvarez,-13.5,0.142857143,8.80%,0.413173653,24.90%,0.374125874,0.203,0.501650165,3,0.303797468
Brett Lawrie,-6.5,0.328042328,4.20%,0.137724551,23.20%,0.433566434,0.132,0.267326733,3.6,0.379746835
Christian Yelich,-1.2,0.468253968,9.80%,0.473053892,20.70%,0.520979021,0.092,0.135313531,4.7,0.518987342
Ender Inciarte,1.9,0.55026455,2.80%,0.053892216,11.00%,0.86013986,0.099,0.158415842,5.5,0.620253165
Chase Headley,2.7,0.571428571,6.50%,0.275449102,20.60%,0.524475524,0.122,0.234323432,2.6,0.253164557
Ryan Howard,-9,0.261904762,4.90%,0.179640719,27.50%,0.283216783,0.222,0.564356436,1.6,0.126582278
Ben Revere,0.3,0.507936508,4.90%,0.179640719,9.30%,0.91958042,0.077,0.085808581,7.5,0.873417722
Robinson Cano,-0.6,0.484126984,5.70%,0.22754491,16.60%,0.664335664,0.151,0.330033003,2.8,0.278481013
Matt Kemp,-14.4,0.119047619,5.70%,0.22754491,23.50%,0.423076923,0.152,0.333333333,5.3,0.594936709
Melky Cabrera,-7.5,0.301587302,5.60%,0.221556886,14.30%,0.744755245,0.112,0.201320132,3.3,0.341772152
Brad Miller,5.2,0.637566138,10.30%,0.502994012,20.80%,0.517482517,0.147,0.316831683,5.6,0.632911392
David Freese,1,0.526455026,7.10%,0.311377246,22.40%,0.461538462,0.158,0.353135314,2.2,0.202531646
Joe Mauer,-7.1,0.312169312,8.70%,0.407185629,15.70%,0.695804196,0.113,0.204620462,2.8,0.278481013
Jose Reyes,-0.1,0.497354497,5.60%,0.221556886,12.50%,0.807692308,0.098,0.155115512,5.2,0.582278481
Steven Souza,-3.9,0.396825397,10.30%,0.502994012,35.60%,0,0.193,0.468646865,5.3,0.594936709
Mark Trumbo,-8,0.288359788,5.20%,0.19760479,24.60%,0.384615385,0.177,0.415841584,2.8,0.278481013
Evan Gattis,-11.5,0.195767196,3.40%,0.089820359,21.10%,0.506993007,0.205,0.508250825,4.2,0.455696203
Mike Napoli,-3.5,0.407407407,11.90%,0.598802395,25.50%,0.353146853,0.175,0.409240924,3.3,0.341772152
Yangervis Solarte,-4.6,0.378306878,6.40%,0.269461078,10.60%,0.874125874,0.131,0.264026403,3.2,0.329113924
Luis Valbuena,-2.6,0.431216931,9.20%,0.437125749,22.10%,0.472027972,0.214,0.537953795,2.7,0.265822785
Josh Harrison,-3.4,0.41005291,3.40%,0.089820359,14.70%,0.730769231,0.105,0.178217822,4.4,0.481012658
Daniel Murphy,-1.6,0.457671958,6.90%,0.299401198,7.20%,0.993006993,0.122,0.234323432,1.2,0.075949367
Kevin Pillar,5.7,0.650793651,4.50%,0.155688623,14.70%,0.730769231,0.119,0.224422442,6.2,0.708860759
Aramis Ramirez,5.1,0.634920635,4.90%,0.179640719,13.30%,0.77972028,0.176,0.412541254,1.7,0.139240506
Brandon Phillips,2.3,0.560846561,4.50%,0.155688623,11.80%,0.832167832,0.096,0.148514851,5.7,0.64556962
Martin Prado,6,0.658730159,4.60%,0.161676647,12.40%,0.811188811,0.092,0.135313531,1.5,0.113924051
Chris Carter,-8.2,0.283068783,12.50%,0.634730539,33.70%,0.066433566,0.203,0.501650165,1.7,0.139240506
Derek Norris,7.5,0.698412698,5.10%,0.191616766,23.70%,0.416083916,0.169,0.389438944,4.4,0.481012658
Pablo Sandoval,-12.1,0.17989418,5.00%,0.185628743,13.50%,0.772727273,0.118,0.221122112,1.5,0.113924051
Avisail Garcia,-8.6,0.272486772,5.20%,0.19760479,25.00%,0.370629371,0.097,0.151815182,3.5,0.367088608
Brandon Moss,-6.1,0.338624339,8.50%,0.395209581,28.40%,0.251748252,0.189,0.455445545,1.7,0.139240506
Nick Castellanos,-10.2,0.23015873,7.10%,0.311377246,24.50%,0.388111888,0.15,0.326732673,2.8,0.278481013
Billy Butler,-9.6,0.246031746,7.40%,0.329341317,16.40%,0.671328671,0.131,0.264026403,1.9,0.164556962
Johnny Giavotella,-6.5,0.328042328,7.30%,0.323353293,12.20%,0.818181818,0.09,0.128712871,3.4,0.35443038
Freddy Galvis,6.3,0.666666667,5.10%,0.191616766,17.90%,0.618881119,0.084,0.108910891,5.2,0.582278481
Yadier Molina,7.9,0.708994709,5.60%,0.221556886,12.00%,0.825174825,0.074,0.075907591,1.9,0.164556962
Addison Russell,7.6,0.701058201,8.30%,0.383233533,28.90%,0.234265734,0.125,0.244224422,2.1,0.189873418
Gregory Polanco,-2.7,0.428571429,9.40%,0.449101796,18.60%,0.594405594,0.116,0.214521452,6.4,0.734177215
Erick Aybar,2.9,0.576719577,5.00%,0.185628743,12.30%,0.814685315,0.065,0.04620462,3.8,0.405063291
Austin Jackson,7.5,0.698412698,6.00%,0.245508982,21.80%,0.482517483,0.113,0.204620462,5,0.556962025
Salvador Perez,9.3,0.746031746,2.00%,0.005988024,14.70%,0.730769231,0.175,0.409240924,1.8,0.151898734
Kevin Kiermaier,18.9,1,4.10%,0.131736527,19.20%,0.573426573,0.16,0.359735974,8,0.936708861
Didi Gregorius,6,0.658730159,5.20%,0.19760479,15.10%,0.716783217,0.095,0.145214521,3.6,0.379746835
Alcides Escobar,11.8,0.812169312,4.40%,0.149700599,10.90%,0.863636364,0.071,0.066006601,5,0.556962025
Jace Peterson,2,0.552910053,9.80%,0.473053892,19.60%,0.559440559,0.092,0.135313531,4.5,0.493670886
Adrian Beltre,6.9,0.682539683,5.60%,0.221556886,10.20%,0.888111888,0.125,0.244224422,3.8,0.405063291
Andrelton Simmons,14.7,0.888888889,7.00%,0.305389222,7.00%,1,0.077,0.085808581,3.4,0.35443038
Adeiny Hechavarria,16.6,0.939153439,4.40%,0.149700599,16.90%,0.653846154,0.091,0.132013201,4.7,0.518987342
Adam LaRoche,-8.5,0.275132275,11.00%,0.54491018,29.60%,0.20979021,0.132,0.267326733,0.9,0.037974684
Marcus Semien,-5.1,0.365079365,6.00%,0.245508982,22.10%,0.472027972,0.126,0.247524752,5.1,0.569620253
Logan Morrison,-9.3,0.253968254,9.10%,0.431137725,15.70%,0.695804196,0.142,0.300330033,4.4,0.481012658
Wilmer Flores,4.7,0.624338624,3.60%,0.101796407,13.00%,0.79020979,0.129,0.257425743,1.2,0.075949367
Asdrubal Cabrera,7.5,0.698412698,6.00%,0.245508982,22.00%,0.475524476,0.143,0.303630363,4.8,0.53164557
Marcell Ozuna,0.5,0.513227513,6.50%,0.275449102,23.00%,0.440559441,0.088,0.122112211,1.8,0.151898734
Elvis Andrus,-2,0.447089947,6.90%,0.299401198,13.80%,0.762237762,0.077,0.085808581,4.2,0.455696203
Jean Segura,3.3,0.587301587,2.60%,0.041916168,14.50%,0.737762238,0.072,0.069306931,6.2,0.708860759
Jimmy Rollins,1.2,0.531746032,7.30%,0.323353293,14.10%,0.751748252,0.148,0.320132013,4.8,0.53164557
Ian Desmond,-5.7,0.349206349,5.30%,0.203592814,29.10%,0.227272727,0.147,0.316831683,5.2,0.582278481
Nick Ahmed,11.3,0.798941799,7.60%,0.341317365,18.10%,0.611888112,0.112,0.201320132,4.2,0.455696203
Wilson Ramos,5.6,0.648148148,3.80%,0.113772455,20.00%,0.545454545,0.13,0.260726073,1.2,0.075949367
Angel Pagan,-10.4,0.224867725,5.10%,0.191616766,15.20%,0.713286713,0.051,0,4.5,0.493670886
Juan Lagares,5.9,0.656084656,3.00%,0.065868263,17.90%,0.618881119,0.08,0.095709571,5.5,0.620253165
Alexei Ramirez,4.4,0.616402116,3.60%,0.101796407,11.60%,0.839160839,0.096,0.148514851,4.3,0.46835443
Chris Owings,-1.5,0.46031746,4.00%,0.125748503,25.70%,0.346153846,0.096,0.148514851,7.4,0.860759494
Starlin Castro,2,0.552910053,3.90%,0.119760479,17.10%,0.646853147,0.067,0.052805281,3.1,0.316455696
Billy Hamilton,16.3,0.931216931,5.40%,0.209580838,15.40%,0.706293706,0.062,0.03630363,8.5,1
Mike Zunino,5.6,0.648148148,5.60%,0.221556886,34.80%,0.027972028,0.14,0.293729373,1.3,0.088607595
Omar Infante,5.1,0.634920635,1.90%,0,15.90%,0.688811189,0.089,0.125412541,4.2,0.455696203
